subj_idx,subj_code
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
1,ca_po_2002_05_25_700_f
